word                           	 ipa                            	 ipa_model                      
uremia                         	 jərimiə                        	 jərimiə                       
fishbowls                      	 fishbowls*                     	 fɪʃboʊlz                      
kreese                         	 kreese*                        	 kris                          
bombe                          	 bombe*                         	 bɑm                           
seediness                      	 seediness*                     	 sidinəs                       
intuit                         	 ɪntuət                         	 ɪntuət                        
architecturally                	 ɑrkɪtɛkʧərəli                  	 ɑrkətɛkʧərəli                 
shea                           	 ʃe                             	 ʃi                            
storybook                      	 stɔribʊk                       	 stɔribʊk                      
melodrama                      	 mɛlədrɑmə                      	 mɛlədrɑmə                     
lapels                         	 ləpɛlz                         	 ləpɛlz                        
affair                         	 əfɛr                           	 əfɛr                          
bodacious                      	 bodacious*                     	 bɑdeʃəs                       
unsettlement                   	 unsettlement*                  	 ənsɛtəlmənt                   
erg                            	 erg*                           	 ərg                           
asap                           	 esæp                           	 əsæp                          
ague                           	 ague*                          	 eg                            
pk                             	 pk*                            	 pk                            
negotiation                    	 nɪgoʊʃieʃən                    	 nɪgoʊʃieʃən                   
sonar                          	 soʊnɑr                         	 soʊnɑr                        
behaving                       	 bɪhevɪŋ                        	 bɪhevɪŋ                       
quadriceps                     	 kwɑdrəsɛps                     	 kwɑdrəsɛps                    
lits                           	 lɪts                           	 lɪts                          
comparison                     	 kəmpɛrəsən                     	 kəmpɛrəsən                    
kultur                         	 kultur*                        	 kəlʧər                        
microscopic                    	 maɪkrəskɑpɪk                   	 maɪkrəskɑpɪk                  
pneumonia                      	 nəmoʊnjə                       	 nəmoʊnjə                      
verity                         	 vɛrɪti                         	 vɛrɪti                        
widest                         	 waɪdəst                        	 waɪdəst                       
naughtiness                    	 naughtiness*                   	 nɔtɪnəs                       
footings                       	 fʊtɪŋz                         	 fʊtɪŋz                        
lockup                         	 lɑkəp                          	 lɑkəp                         
trammel                        	 træməl                         	 træməl                        
urticaria                      	 urticaria*                     	 ərtɪkɛriə                     
prob                           	 prɑb                           	 prɑb                          
rework                         	 riwərk                         	 riwərk                        
curette                        	 curette*                       	 kjʊrət                        
elling                         	 ɛlɪŋ                           	 ɛlɪŋ                          
ermine                         	 ərmən                          	 ərmən                         
kikes                          	 kikes*                         	 kaɪks                         
essay                          	 ɛse                            	 ɛse                           
intern                         	 ɪntərn                         	 ɪntərn                        
systemized                     	 systemized*                    	 sɪstəmaɪzd                    
broomsticks                    	 brumstɪks                      	 brumstɪks                     
zanzibar                       	 zænzəbɑr                       	 zænzəbɑr                      
moxie                          	 mɑksi                          	 mɑksi                         
barbules                       	 barbules*                      	 bɑrbjulz                      
pincushions                    	 pincushions*                   	 pənkʊʃənz                     
extravagance                   	 ɛkstrævəgəns                   	 ɛkstrævəgəns                  
hypoxemia                      	 hypoxemia*                     	 haɪpɑksiə                     
dentals                        	 dɛntəlz                        	 dɛntəlz                       
stitching                      	 stɪʧɪŋ                         	 stɪʧɪŋ                        
fidgety                        	 fidgety*                       	 fɪʤəti                        
overspread                     	 overspread*                    	 oʊvərsprɛd                    
frights                        	 frights*                       	 fraɪts                        
stolid                         	 stɑləd                         	 stɑləd                        
pretension                     	 pritɛnʃən                      	 pritɛnʃən                     
maligned                       	 məlaɪnd                        	 məlaɪnd                       
joying                         	 ʤɔɪɪŋ                          	 ʤɔɪɪŋ                         
dunny                          	 dunny*                         	 dəni                          
stowaways                      	 stoʊəwez                       	 stoʊəwez                      
veal                           	 vil                            	 vil                           
smokestack                     	 smoʊkstæk                      	 smoʊkstæk                     
pinniped                       	 pinniped*                      	 pɪnɪpt                        
frere                          	 frɪr                           	 frɛr                          
