word                           	 ipa                            	 ipa_model                      
vouching                       	 vaʊʧɪŋ                         	 vaʊʧɪŋ                        
sensitivities                  	 sɛnsɪtɪvɪtiz                   	 sɛnsɪtɪvɪtiz                  
mycologist                     	 mycologist*                    	 məkɑləʤəst                    
bogus                          	 boʊgəs                         	 boʊgəs                        
cadillac                       	 kædəlæk                        	 kædɪlæk                       
runaways                       	 rənəwez                        	 runəwez                       
rubberneckers                  	 rubberneckers*                 	 rəbərnɛkərz                   
legumes                        	 lɛgjumz                        	 lɛgjumz                       
pumice                         	 pəməs                          	 pjumɪs                        
gnawing                        	 nɔɪŋ                           	 nɔɪŋ                          
year                           	 jɪr                            	 jɪr                           
juked                          	 juked*                         	 ʤukt                          
redefining                     	 ridɪfaɪnɪŋ                     	 ridɪfaɪnɪŋ                    
ropers                         	 roʊpərz                        	 roʊpərz                       
dehumanise                     	 dehumanise*                    	 dɛhjəmenɪs                    
carbon                         	 kɑrbən                         	 kɑrbən                        
sadists                        	 sadists*                       	 sedəsts                       
unfocused                      	 ənfoʊkəst                      	 ənfoʊkəst                     
levelled                       	 lɛvəld                         	 lɛvəld                        
triceratops                    	 traɪsɛrətɔps                   	 trɪsəretəps                   
combust                        	 kəmbəst                        	 kɑmbəst                       
surveys                        	 sərvez                         	 sərvez                        
faltered                       	 fɑltərd                        	 fɑltərd                       
gaul                           	 gɔl                            	 gɔl                           
oxidized                       	 ɑksədaɪzd                      	 ɑksədaɪzd                     
snatch                         	 snæʧ                           	 snæʧ                          
eyeless                        	 aɪləs                          	 aɪləs                         
epicondyle                     	 epicondyle*                    	 ɛpɪkɑndəl                     
twitchy                        	 twitchy*                       	 twɪʧi                         
whiffed                        	 whiffed*                       	 wɪft                          
sickbeds                       	 sickbeds*                      	 sɪkbɛdz                       
gorgeous                       	 gɔrʤəs                         	 gɔrʤəs                        
nae                            	 nae*                           	 ne                            
brass                          	 bræs                           	 bræs                          
wonderland                     	 wəndərlænd                     	 wəndərlænd                    
vetting                        	 vɛtɪŋ                          	 vɛtɪŋ                         
ignominious                    	 ɪgnəmɪniəs                     	 ɪgnəmɪniəs                    
enlightened                    	 ɛnlaɪtənd                      	 ɛnlaɪtənd                     
roistering                     	 roistering*                    	 rɔɪstərɪŋ                     
piston                         	 pɪstən                         	 pɪstən                        
merpeople                      	 merpeople*                     	 mərpipəl                      
kleptomaniac                   	 klɛptəmeniæk                   	 klɛptəmeniæk                  
justified                      	 ʤəstəfaɪd                      	 ʤəstəfaɪd                     
contravene                     	 kɑntrəvin                      	 kɑntrəvin                     
reabsorption                   	 reabsorption*                  	 riəbzɔrpʃən                   
dilator                        	 dilator*                       	 daɪlətər                      
ardency                        	 ardency*                       	 ɑrdənsi                       
faced                          	 fest                           	 fest                          
mesas                          	 mesas*                         	 mizəz                         
unharmed                       	 ənhɑrmd                        	 ənhɑrmd                       
comprehensible                 	 kɑmprihɛnsəbəl                 	 kɑmprihɛnsəbəl                
simmer                         	 sɪmər                          	 sɪmər                         
